Price,Address,City,Zipcode,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,MLS ID,Listing Agent,Status,Listing URL
"$645,962","9692 Maple Dr, Los Angeles, CA 91395",Los Angeles,91395,CA,4 bds,3 ba,2746 sqft,8256 sqft,2008,11,Condo,Z855977,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/20308759_zpid/
"$575,637","905 Oak Ave, Sacramento, NY 28568",Sacramento,28568,NY,1 bds,4 ba,3387 sqft,1740 sqft,1966,97,Condo,Z166677,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/36948512_zpid/
"$507,793","8699 Elm St, Fresno, CA 29191",Fresno,29191,CA,5 bds,4 ba,3480 sqft,2022 sqft,2007,66,Multi-Family,Z751795,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/44716305_zpid/
"$1,171,629","2475 Elm St, Sacramento, TX 63853",Sacramento,63853,TX,2 bds,4 ba,2351 sqft,2275 sqft,2007,46,Condo,Z325594,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/51686892_zpid/
"$698,570","5887 Oak Ave, Sacramento, CA 57513",Sacramento,57513,CA,3 bds,2 ba,722 sqft,6443 sqft,1953,72,Apartment,Z502987,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/13509507_zpid/
"$534,688","3934 Elm St, San Francisco, TX 17359",San Francisco,17359,TX,3 bds,1 ba,2356 sqft,3883 sqft,1958,114,Townhouse,Z726231,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/33809829_zpid/
"$1,108,288","3087 Maple Dr, Los Angeles, NY 11690",Los Angeles,11690,NY,6 bds,3 ba,1156 sqft,1218 sqft,1958,28,Condo,Z302684,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/72178243_zpid/
"$1,173,697","4360 Maple Dr, Los Angeles, TX 97442",Los Angeles,97442,TX,2 bds,4 ba,1554 sqft,9408 sqft,1982,1,Multi-Family,Z879412,Mike Lee - Coldwell Banker,Pending,https://www.zillow.com/homedetails/59228209_zpid/
"$980,716","8332 Oak Ave, Los Angeles, IL 12888",Los Angeles,12888,IL,2 bds,2 ba,982 sqft,7527 sqft,1983,58,Multi-Family,Z433130,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/80136408_zpid/
"$527,238","4702 Pine Rd, Los Angeles, NY 63443",Los Angeles,63443,NY,4 bds,4 ba,3164 sqft,9694 sqft,1955,33,Condo,Z835234,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/10224527_zpid/
"$1,469,257","1993 Maple Dr, Fresno, IL 38811",Fresno,38811,IL,5 bds,3 ba,635 sqft,1130 sqft,1990,42,Multi-Family,Z310222,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/49182882_zpid/
"$1,381,949","9953 Maple Dr, San Francisco, TX 33081",San Francisco,33081,TX,4 bds,4 ba,2966 sqft,2421 sqft,1997,38,Single Family,Z166756,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/28976445_zpid/
"$898,597","3530 Oak Ave, Sacramento, FL 16851",Sacramento,16851,FL,6 bds,3 ba,3814 sqft,2093 sqft,1957,71,Condo,Z574837,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/85797272_zpid/
"$1,335,481","8606 Main St, Los Angeles, IL 31581",Los Angeles,31581,IL,2 bds,4 ba,1583 sqft,6306 sqft,1979,30,Apartment,Z227123,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/73771597_zpid/
"$1,444,036","517 Elm St, San Diego, CA 73665",San Diego,73665,CA,6 bds,3 ba,743 sqft,8853 sqft,2018,50,Townhouse,Z964910,John Doe - RE/MAX,Sold,https://www.zillow.com/homedetails/87129932_zpid/
"$831,525","982 Oak Ave, Sacramento, CA 45375",Sacramento,45375,CA,4 bds,3 ba,1165 sqft,3128 sqft,1954,57,Townhouse,Z275900,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/87871884_zpid/
"$911,317","7675 Maple Dr, Los Angeles, NY 25618",Los Angeles,25618,NY,3 bds,2 ba,908 sqft,1492 sqft,1963,42,Apartment,Z313548,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/28093606_zpid/
"$858,386","1580 Elm St, San Francisco, FL 11309",San Francisco,11309,FL,2 bds,2 ba,1475 sqft,1926 sqft,1983,102,Multi-Family,Z747104,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/97041337_zpid/
"$705,506","8382 Main St, Sacramento, CA 74703",Sacramento,74703,CA,6 bds,1 ba,3892 sqft,4133 sqft,1985,113,Townhouse,Z131077,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/11583738_zpid/
"$1,461,297","1193 Oak Ave, San Diego, NY 19858",San Diego,19858,NY,1 bds,3 ba,3156 sqft,2935 sqft,1961,61,Apartment,Z713668,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/53525900_zpid/
"$630,339","4020 Elm St, San Diego, IL 93752",San Diego,93752,IL,1 bds,4 ba,1752 sqft,3040 sqft,1993,61,Single Family,Z221816,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/67849427_zpid/
"$268,142","7473 Maple Dr, Los Angeles, CA 61325",Los Angeles,61325,CA,6 bds,4 ba,3778 sqft,3988 sqft,2012,8,Single Family,Z231590,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/97057722_zpid/
"$1,250,016","4820 Pine Rd, San Francisco, NY 44242",San Francisco,44242,NY,3 bds,4 ba,3551 sqft,1230 sqft,1961,58,Multi-Family,Z326594,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/28415062_zpid/
"$1,231,600","345 Elm St, San Diego, CA 65902",San Diego,65902,CA,1 bds,3 ba,3640 sqft,9593 sqft,2008,108,Single Family,Z651394,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/60421528_zpid/
"$1,073,723","5156 Maple Dr, San Diego, NY 70313",San Diego,70313,NY,6 bds,1 ba,1396 sqft,7815 sqft,1989,88,Apartment,Z163650,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/11216378_zpid/
"$1,353,530","9323 Maple Dr, Los Angeles, FL 59381",Los Angeles,59381,FL,2 bds,4 ba,3442 sqft,3651 sqft,1952,108,Multi-Family,Z669827,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/86551568_zpid/
"$272,592","9346 Pine Rd, San Diego, CA 22610",San Diego,22610,CA,3 bds,3 ba,3641 sqft,9671 sqft,1988,115,Townhouse,Z730220,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/79022078_zpid/
"$1,401,287","5261 Pine Rd, Los Angeles, NY 89328",Los Angeles,89328,NY,5 bds,4 ba,824 sqft,5426 sqft,2008,64,Apartment,Z599881,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/10948760_zpid/
"$255,138","9841 Main St, San Diego, FL 57088",San Diego,57088,FL,4 bds,4 ba,3704 sqft,2027 sqft,1960,84,Condo,Z483947,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/15020408_zpid/
"$235,690","5061 Main St, San Francisco, FL 35239",San Francisco,35239,FL,4 bds,2 ba,3150 sqft,8121 sqft,1968,60,Townhouse,Z136454,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/70627429_zpid/
"$1,286,157","8009 Main St, San Diego, CA 66947",San Diego,66947,CA,2 bds,1 ba,1130 sqft,9652 sqft,2008,15,Apartment,Z337688,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/80814732_zpid/
"$1,197,675","9066 Pine Rd, Sacramento, CA 70379",Sacramento,70379,CA,4 bds,1 ba,2418 sqft,4843 sqft,1978,103,Apartment,Z830009,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/64623224_zpid/
"$130,113","2635 Main St, San Diego, IL 37297",San Diego,37297,IL,6 bds,1 ba,641 sqft,6571 sqft,1998,23,Multi-Family,Z946321,John Doe - RE/MAX,Pending,https://www.zillow.com/homedetails/89838030_zpid/
"$327,247","9343 Main St, San Francisco, FL 71862",San Francisco,71862,FL,6 bds,4 ba,692 sqft,8938 sqft,1996,90,Condo,Z966437,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/26155023_zpid/
"$1,253,172","3200 Maple Dr, Sacramento, NY 54468",Sacramento,54468,NY,2 bds,2 ba,1718 sqft,4766 sqft,1993,95,Townhouse,Z939241,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/75249158_zpid/
"$947,261","9129 Elm St, San Diego, CA 40064",San Diego,40064,CA,3 bds,1 ba,1515 sqft,1817 sqft,2013,3,Condo,Z390811,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/53072925_zpid/
"$928,085","1644 Oak Ave, Sacramento, FL 54502",Sacramento,54502,FL,2 bds,3 ba,3201 sqft,6981 sqft,2014,63,Multi-Family,Z300717,Mike Lee - Coldwell Banker,Pending,https://www.zillow.com/homedetails/80963474_zpid/
"$1,075,059","8001 Elm St, Fresno, CA 26896",Fresno,26896,CA,4 bds,2 ba,806 sqft,5870 sqft,1990,22,Apartment,Z980388,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/27244920_zpid/
"$704,012","9681 Maple Dr, San Francisco, TX 39228",San Francisco,39228,TX,2 bds,2 ba,2192 sqft,2491 sqft,2022,82,Multi-Family,Z133221,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/91736373_zpid/
"$894,851","850 Maple Dr, Los Angeles, NY 25964",Los Angeles,25964,NY,1 bds,1 ba,2983 sqft,6389 sqft,1975,89,Single Family,Z145933,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/56149044_zpid/
"$1,062,706","385 Maple Dr, San Diego, FL 61792",San Diego,61792,FL,2 bds,4 ba,1143 sqft,3561 sqft,2006,28,Multi-Family,Z362904,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/25130597_zpid/
"$1,293,272","2669 Oak Ave, San Diego, TX 91305",San Diego,91305,TX,1 bds,3 ba,1004 sqft,4822 sqft,1982,28,Apartment,Z764655,Mike Lee - Coldwell Banker,Pending,https://www.zillow.com/homedetails/22799694_zpid/
"$121,941","1352 Main St, San Diego, IL 79089",San Diego,79089,IL,4 bds,1 ba,1266 sqft,6554 sqft,1961,45,Townhouse,Z140940,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/90979067_zpid/
"$1,054,157","1966 Pine Rd, Los Angeles, CA 69291",Los Angeles,69291,CA,3 bds,2 ba,3080 sqft,2905 sqft,1981,2,Apartment,Z995727,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/65001974_zpid/
"$1,064,596","593 Main St, San Francisco, FL 88366",San Francisco,88366,FL,5 bds,1 ba,2383 sqft,7954 sqft,1995,73,Condo,Z348439,John Doe - RE/MAX,Sold,https://www.zillow.com/homedetails/32697233_zpid/
"$1,301,207","1732 Pine Rd, Sacramento, TX 97624",Sacramento,97624,TX,5 bds,4 ba,659 sqft,9317 sqft,1985,46,Single Family,Z524275,Jane Smith - Keller Williams,For Sale,https://www.zillow.com/homedetails/32608021_zpid/
"$1,429,718","3811 Elm St, San Francisco, FL 87038",San Francisco,87038,FL,1 bds,4 ba,3082 sqft,4211 sqft,1974,55,Single Family,Z390055,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/14815014_zpid/
"$570,284","8985 Main St, Sacramento, CA 71760",Sacramento,71760,CA,1 bds,1 ba,2654 sqft,1426 sqft,1990,57,Condo,Z262315,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/68902370_zpid/
"$136,498","6616 Oak Ave, Los Angeles, CA 60339",Los Angeles,60339,CA,5 bds,4 ba,3410 sqft,4595 sqft,1988,71,Townhouse,Z855466,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/34962013_zpid/
"$1,118,129","9346 Elm St, San Diego, CA 47852",San Diego,47852,CA,4 bds,1 ba,3593 sqft,8559 sqft,2006,51,Single Family,Z679889,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/24420078_zpid/
"$348,881","7692 Elm St, Los Angeles, NY 20582",Los Angeles,20582,NY,5 bds,1 ba,3368 sqft,1942 sqft,1954,81,Multi-Family,Z742779,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/67235291_zpid/
"$1,224,280","7234 Oak Ave, San Diego, CA 87797",San Diego,87797,CA,3 bds,3 ba,1071 sqft,3640 sqft,1965,95,Condo,Z816201,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/21741002_zpid/
"$435,555","2047 Main St, Los Angeles, FL 17654",Los Angeles,17654,FL,2 bds,2 ba,2403 sqft,8914 sqft,1955,18,Condo,Z524082,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/99627530_zpid/
"$1,142,134","154 Main St, Los Angeles, NY 76220",Los Angeles,76220,NY,2 bds,3 ba,3515 sqft,6385 sqft,2018,49,Multi-Family,Z448583,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/93410968_zpid/
"$929,862","9343 Maple Dr, Sacramento, NY 27909",Sacramento,27909,NY,3 bds,1 ba,1640 sqft,2571 sqft,1950,58,Multi-Family,Z235580,John Doe - RE/MAX,Sold,https://www.zillow.com/homedetails/31477708_zpid/
"$557,894","7038 Elm St, Fresno, IL 52141",Fresno,52141,IL,5 bds,1 ba,2551 sqft,3014 sqft,2006,76,Townhouse,Z989654,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/40555330_zpid/
"$282,593","8789 Oak Ave, San Francisco, TX 99388",San Francisco,99388,TX,6 bds,2 ba,2153 sqft,6999 sqft,1977,31,Single Family,Z620042,Alex Johnson - Compass,Sold,https://www.zillow.com/homedetails/54960619_zpid/
"$390,371","524 Elm St, Sacramento, NY 74756",Sacramento,74756,NY,5 bds,4 ba,3539 sqft,9313 sqft,1985,47,Multi-Family,Z449768,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/51539232_zpid/
"$1,103,898","8234 Elm St, Sacramento, TX 36251",Sacramento,36251,TX,2 bds,1 ba,1088 sqft,4186 sqft,1983,58,Multi-Family,Z738821,John Doe - RE/MAX,Sold,https://www.zillow.com/homedetails/99412177_zpid/
"$324,492","841 Maple Dr, Fresno, FL 78532",Fresno,78532,FL,2 bds,1 ba,3618 sqft,4317 sqft,1998,116,Apartment,Z328126,Alex Johnson - Compass,Sold,https://www.zillow.com/homedetails/90864559_zpid/
"$442,170","464 Pine Rd, San Francisco, CA 63085",San Francisco,63085,CA,6 bds,4 ba,1647 sqft,6299 sqft,2008,52,Apartment,Z193241,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/52606141_zpid/
"$1,081,035","7627 Main St, Los Angeles, NY 23864",Los Angeles,23864,NY,5 bds,4 ba,2892 sqft,8833 sqft,2002,52,Multi-Family,Z142018,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/53294841_zpid/
"$249,975","2204 Pine Rd, Fresno, TX 21440",Fresno,21440,TX,5 bds,1 ba,2625 sqft,5667 sqft,1968,96,Townhouse,Z997581,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/31949828_zpid/
"$754,480","522 Main St, San Diego, IL 83545",San Diego,83545,IL,1 bds,4 ba,2042 sqft,4863 sqft,1958,120,Multi-Family,Z763768,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/67571739_zpid/
"$362,957","5171 Pine Rd, Los Angeles, IL 39506",Los Angeles,39506,IL,5 bds,2 ba,3482 sqft,1702 sqft,2011,92,Apartment,Z869944,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/36246636_zpid/
"$1,387,573","3305 Main St, San Diego, IL 98587",San Diego,98587,IL,3 bds,4 ba,1949 sqft,5913 sqft,1975,84,Single Family,Z148977,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/29097953_zpid/
"$1,257,567","3106 Oak Ave, Fresno, IL 66989",Fresno,66989,IL,2 bds,1 ba,3887 sqft,8829 sqft,1957,43,Condo,Z842773,Alex Johnson - Compass,Sold,https://www.zillow.com/homedetails/67020386_zpid/
"$1,217,931","9646 Main St, San Diego, IL 55101",San Diego,55101,IL,1 bds,3 ba,2977 sqft,3400 sqft,2004,62,Multi-Family,Z318081,Alex Johnson - Compass,For Sale,https://www.zillow.com/homedetails/40390099_zpid/
"$1,369,617","3673 Maple Dr, San Diego, FL 35654",San Diego,35654,FL,4 bds,3 ba,2199 sqft,3140 sqft,1974,64,Apartment,Z397159,Alex Johnson - Compass,Pending,https://www.zillow.com/homedetails/62845138_zpid/
"$1,367,380","6206 Main St, Los Angeles, FL 28260",Los Angeles,28260,FL,6 bds,2 ba,2960 sqft,8344 sqft,2011,33,Multi-Family,Z977398,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/12512256_zpid/
"$653,513","905 Main St, San Francisco, CA 24367",San Francisco,24367,CA,3 bds,2 ba,862 sqft,6303 sqft,1972,64,Multi-Family,Z684717,Jane Smith - Keller Williams,Pending,https://www.zillow.com/homedetails/12804298_zpid/
"$1,052,313","5501 Oak Ave, Sacramento, IL 37372",Sacramento,37372,IL,1 bds,4 ba,2552 sqft,4272 sqft,1998,81,Single Family,Z233641,Jane Smith - Keller Williams,Sold,https://www.zillow.com/homedetails/21134887_zpid/
"$1,402,065","6181 Main St, Fresno, NY 10445",Fresno,10445,NY,6 bds,1 ba,3504 sqft,3470 sqft,1952,45,Townhouse,Z290319,Alex Johnson - Compass,Sold,https://www.zillow.com/homedetails/87766197_zpid/
"$258,025","6288 Main St, Sacramento, TX 11097",Sacramento,11097,TX,2 bds,2 ba,2930 sqft,9853 sqft,1993,8,Multi-Family,Z231870,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/61602434_zpid/
"$1,346,411","3168 Maple Dr, San Francisco, FL 48078",San Francisco,48078,FL,1 bds,1 ba,2849 sqft,8155 sqft,1952,104,Condo,Z682312,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/52005125_zpid/
"$765,276","5750 Oak Ave, Fresno, TX 55038",Fresno,55038,TX,5 bds,2 ba,2415 sqft,6387 sqft,1950,50,Single Family,Z339506,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/37403351_zpid/
"$1,478,929","8073 Maple Dr, Los Angeles, NY 48984",Los Angeles,48984,NY,1 bds,2 ba,3351 sqft,1858 sqft,1962,102,Condo,Z394602,Emily Davis - Century 21,Sold,https://www.zillow.com/homedetails/18168823_zpid/
"$616,741","1911 Oak Ave, Fresno, FL 92471",Fresno,92471,FL,2 bds,1 ba,1258 sqft,2818 sqft,1966,73,Apartment,Z234529,Mike Lee - Coldwell Banker,Pending,https://www.zillow.com/homedetails/98621713_zpid/
"$1,089,190","2771 Main St, San Francisco, CA 93992",San Francisco,93992,CA,4 bds,1 ba,787 sqft,5227 sqft,1999,119,Single Family,Z164322,Emily Davis - Century 21,For Sale,https://www.zillow.com/homedetails/99214969_zpid/
"$733,862","2973 Maple Dr, Sacramento, IL 94674",Sacramento,94674,IL,6 bds,1 ba,2342 sqft,5419 sqft,1984,46,Apartment,Z301609,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/21392259_zpid/
"$367,764","4172 Pine Rd, San Diego, NY 60724",San Diego,60724,NY,3 bds,1 ba,2761 sqft,9262 sqft,1960,99,Townhouse,Z564259,Emily Davis - Century 21,For Sale,https://www.zillow.com/homedetails/82806416_zpid/
"$890,978","4942 Maple Dr, Sacramento, IL 80299",Sacramento,80299,IL,1 bds,4 ba,3887 sqft,3596 sqft,2000,119,Multi-Family,Z638431,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/42067503_zpid/
"$139,928","7283 Pine Rd, San Francisco, CA 63039",San Francisco,63039,CA,1 bds,3 ba,2093 sqft,1094 sqft,1977,34,Apartment,Z162140,Emily Davis - Century 21,Pending,https://www.zillow.com/homedetails/93007422_zpid/
"$574,704","1976 Maple Dr, Los Angeles, NY 88108",Los Angeles,88108,NY,1 bds,1 ba,903 sqft,6122 sqft,2006,43,Apartment,Z931659,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/69761172_zpid/
"$454,473","9341 Oak Ave, Fresno, IL 64486",Fresno,64486,IL,5 bds,2 ba,3693 sqft,9896 sqft,1951,87,Apartment,Z817902,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/80566392_zpid/
"$548,614","8859 Pine Rd, Sacramento, IL 85891",Sacramento,85891,IL,3 bds,1 ba,3527 sqft,3201 sqft,2008,108,Condo,Z525763,John Doe - RE/MAX,For Sale,https://www.zillow.com/homedetails/69861230_zpid/
"$741,710","8545 Pine Rd, Sacramento, CA 61514",Sacramento,61514,CA,1 bds,4 ba,1224 sqft,3876 sqft,2001,27,Townhouse,Z342636,Mike Lee - Coldwell Banker,Sold,https://www.zillow.com/homedetails/70258640_zpid/
"$1,300,809","9922 Oak Ave, San Francisco, CA 84532",San Francisco,84532,CA,5 bds,4 ba,2543 sqft,7979 sqft,2001,108,Multi-Family,Z717722,Mike Lee - Coldwell Banker,For Sale,https://www.zillow.com/homedetails/41247190_zpid/
